planner_name bi_rrt_star
planning_group fetch_arm
planning_result 1
max_time 300
executed_time 0
first_solution_iter 0
first_solution_time 1.67004e+09
last_solution_iter 0
last_solution_time 1.67004e+09
total_plannig_iter 0
cost_theoretical_solution_total 4.93761
cost_theoretical_solution_revolute 4.93761
cost_theoretical_solution_prismatics 0
cost_final_solution_total 4.93761
cost_final_solution_revolute 4.93761
cost_final_solution_prismatic 0
num_nodes_start_tree 14
num_nodes_goal_tree 1
num_nodes_total 15
num_edges_start_tree 13
num_edges_goal_tree 0
num_edges_total 13
num_rewire_start_tree 0
num_rewire_goal_tree 0
num_rewire_total 0
